Wavelength,Spectral_Irradiance
380,0.00E+00
381,1.52E-05
382,7.57E-05
383,7.33E-05
384,4.65E-05
385,7.13E-05
386,1.60E-04
387,2.16E-04
388,1.55E-04
389,4.08E-05
390,0.00E+00
391,0.00E+00
392,0.00E+00
393,0.00E+00
394,0.00E+00
395,1.71E-05
396,1.74E-04
397,2.88E-04
398,2.85E-04
399,2.17E-04
400,1.40E-04
401,9.64E-05
402,1.26E-04
403,2.12E-04
404,2.55E-04
405,1.79E-04
406,7.09E-05
407,4.39E-05
408,1.01E-04
409,1.64E-04
410,1.84E-04
411,1.93E-04
412,2.28E-04
413,3.09E-04
414,4.45E-04
415,6.15E-04
416,7.64E-04
417,8.34E-04
418,8.96E-04
419,1.02E-03
420,1.21E-03
421,1.43E-03
422,1.65E-03
423,1.88E-03
424,2.16E-03
425,2.49E-03
426,2.91E-03
427,3.42E-03
428,4.00E-03
429,4.58E-03
430,5.17E-03
431,5.87E-03
432,6.66E-03
433,7.56E-03
434,8.52E-03
435,9.52E-03
436,1.05E-02
437,1.17E-02
438,1.33E-02
439,1.52E-02
440,1.73E-02
441,1.96E-02
442,2.21E-02
443,2.47E-02
444,2.73E-02
445,3.01E-02
446,3.29E-02
447,3.51E-02
448,3.65E-02
449,3.71E-02
450,3.71E-02
451,3.64E-02
452,3.46E-02
453,3.23E-02
454,2.96E-02
455,2.70E-02
456,2.45E-02
457,2.24E-02
458,2.05E-02
459,1.90E-02
460,1.78E-02
461,1.68E-02
462,1.60E-02
463,1.54E-02
464,1.48E-02
465,1.43E-02
466,1.37E-02
467,1.30E-02
468,1.23E-02
469,1.17E-02
470,1.10E-02
471,1.02E-02
472,9.66E-03
473,9.31E-03
474,9.13E-03
475,9.04E-03
476,9.00E-03
477,9.05E-03
478,9.15E-03
479,9.27E-03
480,9.38E-03
481,9.52E-03
482,9.77E-03
483,1.01E-02
484,1.04E-02
485,1.07E-02
486,1.10E-02
487,1.13E-02
488,1.17E-02
489,1.22E-02
490,1.28E-02
491,1.33E-02
492,1.38E-02
493,1.43E-02
494,1.48E-02
495,1.54E-02
496,1.60E-02
497,1.65E-02
498,1.71E-02
499,1.76E-02
500,1.81E-02
501,1.85E-02
502,1.90E-02
503,1.95E-02
504,1.99E-02
505,2.04E-02
506,2.08E-02
507,2.13E-02
508,2.16E-02
509,2.20E-02
510,2.23E-02
511,2.27E-02
512,2.29E-02
513,2.32E-02
514,2.35E-02
515,2.38E-02
516,2.40E-02
517,2.43E-02
518,2.47E-02
519,2.50E-02
520,2.52E-02
521,2.54E-02
522,2.56E-02
523,2.58E-02
524,2.60E-02
525,2.62E-02
526,2.65E-02
527,2.68E-02
528,2.71E-02
529,2.73E-02
530,2.75E-02
531,2.76E-02
532,2.77E-02
533,2.79E-02
534,2.83E-02
535,2.86E-02
536,2.89E-02
537,2.92E-02
538,2.93E-02
539,2.95E-02
540,2.98E-02
541,3.00E-02
542,3.03E-02
543,3.05E-02
544,3.07E-02
545,3.09E-02
546,3.11E-02
547,3.12E-02
548,3.13E-02
549,3.15E-02
550,3.17E-02
551,3.20E-02
552,3.23E-02
553,3.25E-02
554,3.27E-02
555,3.29E-02
556,3.31E-02
557,3.33E-02
558,3.35E-02
559,3.36E-02
560,3.39E-02
561,3.40E-02
562,3.41E-02
563,3.41E-02
564,3.43E-02
565,3.45E-02
566,3.47E-02
567,3.48E-02
568,3.49E-02
569,3.51E-02
570,3.53E-02
571,3.55E-02
572,3.56E-02
573,3.57E-02
574,3.58E-02
575,3.59E-02
576,3.60E-02
577,3.61E-02
578,3.61E-02
579,3.63E-02
580,3.65E-02
581,3.66E-02
582,3.67E-02
583,3.68E-02
584,3.69E-02
585,3.69E-02
586,3.70E-02
587,3.70E-02
588,3.71E-02
589,3.71E-02
590,3.72E-02
591,3.73E-02
592,3.73E-02
593,3.73E-02
594,3.73E-02
595,3.72E-02
596,3.72E-02
597,3.72E-02
598,3.72E-02
599,3.72E-02
600,3.72E-02
601,3.72E-02
602,3.71E-02
603,3.69E-02
604,3.69E-02
605,3.69E-02
606,3.69E-02
607,3.68E-02
608,3.66E-02
609,3.64E-02
610,3.61E-02
611,3.59E-02
612,3.58E-02
613,3.57E-02
614,3.54E-02
615,3.51E-02
616,3.48E-02
617,3.45E-02
618,3.43E-02
619,3.40E-02
620,3.38E-02
621,3.35E-02
622,3.32E-02
623,3.29E-02
624,3.26E-02
625,3.22E-02
626,3.18E-02
627,3.14E-02
628,3.10E-02
629,3.07E-02
630,3.03E-02
631,2.99E-02
632,2.95E-02
633,2.91E-02
634,2.87E-02
635,2.82E-02
636,2.77E-02
637,2.73E-02
638,2.69E-02
639,2.65E-02
640,2.61E-02
641,2.56E-02
642,2.52E-02
643,2.47E-02
644,2.43E-02
645,2.39E-02
646,2.35E-02
647,2.31E-02
648,2.26E-02
649,2.21E-02
650,2.17E-02
651,2.13E-02
652,2.09E-02
653,2.05E-02
654,2.00E-02
655,1.96E-02
656,1.92E-02
657,1.88E-02
658,1.84E-02
659,1.79E-02
660,1.74E-02
661,1.71E-02
662,1.67E-02
663,1.64E-02
664,1.61E-02
665,1.57E-02
666,1.53E-02
667,1.50E-02
668,1.46E-02
669,1.43E-02
670,1.39E-02
671,1.35E-02
672,1.32E-02
673,1.28E-02
674,1.25E-02
675,1.21E-02
676,1.18E-02
677,1.16E-02
678,1.12E-02
679,1.09E-02
680,1.06E-02
681,1.04E-02
682,1.01E-02
683,9.82E-03
684,9.53E-03
685,9.31E-03
686,9.13E-03
687,8.88E-03
688,8.57E-03
689,8.31E-03
690,8.14E-03
691,7.97E-03
692,7.76E-03
693,7.46E-03
694,7.15E-03
695,6.94E-03
696,6.81E-03
697,6.69E-03
698,6.52E-03
699,6.29E-03
700,6.10E-03
701,5.97E-03
702,5.79E-03
703,5.54E-03
704,5.33E-03
705,5.19E-03
706,5.05E-03
707,4.90E-03
708,4.80E-03
709,4.70E-03
710,4.53E-03
711,4.36E-03
712,4.27E-03
713,4.16E-03
714,3.96E-03
715,3.78E-03
716,3.69E-03
717,3.63E-03
718,3.54E-03
719,3.42E-03
720,3.29E-03
721,3.18E-03
722,3.10E-03
723,3.06E-03
724,2.99E-03
725,2.86E-03
726,2.73E-03
727,2.68E-03
728,2.60E-03
729,2.46E-03
730,2.38E-03
731,2.37E-03
732,2.29E-03
733,2.17E-03
734,2.10E-03
735,2.06E-03
736,2.02E-03
737,1.96E-03
738,1.89E-03
739,1.86E-03
740,1.85E-03
741,1.81E-03
742,1.74E-03
743,1.66E-03
744,1.60E-03
745,1.54E-03
746,1.49E-03
747,1.45E-03
748,1.40E-03
749,1.34E-03
750,1.27E-03
751,1.23E-03
752,1.25E-03
753,1.26E-03
754,1.19E-03
755,1.12E-03
756,1.11E-03
757,1.06E-03
758,9.48E-04
759,9.15E-04
760,9.46E-04
761,9.57E-04
762,9.45E-04
763,9.23E-04
764,8.83E-04
765,8.25E-04
766,7.66E-04
767,7.40E-04
768,7.78E-04
769,8.30E-04
770,8.34E-04
771,7.67E-04
772,6.68E-04
773,6.47E-04
774,6.60E-04
775,5.74E-04
776,5.03E-04
777,5.75E-04
778,6.08E-04
779,5.13E-04
780,4.42E-04