Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029554613727
CIE 1931 xy chromaticity [x],0.33334130059332756
CIE 1931 xy chromaticity [y],0.33334548384964435
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.33329663537190296
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.3333367357613867
S-cone-opic irradiance (mW ⋅ m⁻²),75.64071837379576
M-cone-opic irradiance (mW ⋅ m⁻²),139.6762846422657
L-cone-opic irradiance (mW ⋅ m⁻²),163.89058443887117
Rhodopic irradiance (mW ⋅ m⁻²),133.0054946377511
Melanopic irradiance (mW ⋅ m⁻²),120.13136566517896
S-cone-opic EDI (lx),92.55068732041073
M-cone-opic EDI (lx),95.94295756169058
L-cone-opic EDI (lx),100.61379033900403
Rhodopic EDI (lx),91.74668313891395
Melanopic EDI (lx),90.58224322551939
S-cone-opic ELR,0.7564049482123512
M-cone-opic ELR,1.396758718356218
L-cone-opic ELR,1.6389010006801106
Rhodopic ELR,1.330051015463111
Melanopic ELR,1.2013101062261742
"CCT (K) - Ohno, 2013",5454.7693818531225
"CCT (K) - Robertson, 1968",5453.666291924166
Colour Fidelity Index [Rf],94.71283686554797
Colour Rendering Index [Ra],95.25
CIE 1960 UCS [u],0.21052703066448133
CIE 1976 UCS [u prime],0.21052703066448133
CIE 1960 UCS [v],0.31579450900038813
CIE 1976 UCS [v prime],0.4736917635005822
Duv,-0.004420946505709011
"TM30 - CCT (K) - Ohno, 2013",5455.102804233424
TM30 - Duv,-0.004420477696217728
TM30 - Colour Fidelity Index [Rf],94.71293446356657
TM30 - Gamut Index (Rg),103.65759340215833
"TM30 - Rcs, h1",0.017660090908685547
"TM30 - Rf, h1",95.29819482884862